state,x,y
Andhra Pradesh,-67.0,-145.0
Arunachal Pradesh ,239.0,107.0
Assam,199.0,60.0
Bihar,60.0,37.0
Chhattisgarh,-12.0,-45.0
Goa,-184.0,-160.0
Gujarat,-198.0,-0.0
Haryana,-98.0,111.0
Himachal Pradesh,-74.0,169.0
Jammu and Kashmir,-113.0,153.0
Jharkhand,60.0,3.0
Karnataka,-153.0,-171.0
Kerala,-157.0,-263.0
Madhya Pradesh,-83.0,-2.0
Maharashtra,-140.0,-81.0
Manipur,222.0,18.0
Meghalaya,146.0,29.0
Mizoram,205.0,-7.0
Nagaland,238.0,48.0
Odisha,42.0,-65.0
Punjab,-113.0,153.0
Rajasthan,-190.0,72.0
Sikkim,119.0,96.0
Tamil Nadu,-89.0,-254.0
Telangana,-79.0,-99.0
Tripura,156.0,9.0
Uttar Pradesh,-35.0,76.0
Uttarakhand,-49.0,139.0
West Bengal,113.0,-8.0
Andaman and Nicobar Islands,149.0,-186.0
Chandigarh,-103.0,145.0
Dadra and Nagar Haveli,-196.0,-46.0
Daman and Diu,-205.0,-72.0
Lakshadweep,-246.0,-246.0
Delhi,-86.0,114.0
Puducherry,-56.0,-219.0
